,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
17,Decision_Tree,min,0.85,0.9,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7961607843372184
18,Decision_Tree,min,0.9,0.8888888888888888,0.8888888888888888,0.8,0.8421052631578947,0.7961607843372184
19,Decision_Tree,min,0.9500000000000001,0.7857142857142857,0.75,0.6,0.6666666666666666,0.7961607843372184
0,SGD,min,0.0,0.879245283018868,0.7714285714285715,0.9101123595505618,0.8350515463917526,0.8852698464000596
1,SGD,min,0.05,0.8928571428571429,0.7938144329896907,0.9166666666666666,0.850828729281768,0.8852698464000596
2,SGD,min,0.1,0.899581589958159,0.8064516129032258,0.9259259259259259,0.8620689655172413,0.8852698464000596
3,SGD,min,0.15,0.9026548672566371,0.8023255813953488,0.9324324324324325,0.8625,0.8852698464000596
4,SGD,min,0.2,0.910377358490566,0.8170731707317073,0.9436619718309859,0.8758169934640523,0.8852698464000596
5,SGD,min,0.25,0.914572864321608,0.8108108108108109,0.9523809523809523,0.8759124087591241,0.8852698464000596
6,SGD,min,0.3,0.9139784946236559,0.803030303030303,0.9464285714285714,0.8688524590163934,0.8852698464000596
7,SGD,min,0.35000000000000003,0.9132947976878613,0.796875,0.9622641509433962,0.8717948717948718,0.8852698464000596
8,SGD,min,0.4,0.9182389937106918,0.8070175438596491,0.9583333333333334,0.8761904761904762,0.8852698464000596
9,SGD,min,0.45,0.9178082191780822,0.8,0.9523809523809523,0.8695652173913043,0.8852698464000596
10,SGD,min,0.5,0.9473684210526315,0.8809523809523809,0.9487179487179487,0.9135802469135802,0.8852698464000596
11,SGD,min,0.55,0.9416666666666667,0.8571428571428571,0.9375,0.8955223880597015,0.8852698464000596
12,SGD,min,0.6,0.9433962264150944,0.8275862068965517,0.96,0.8888888888888888,0.8852698464000596
13,SGD,min,0.65,0.967741935483871,0.8695652173913043,1.0,0.9302325581395349,0.8852698464000596
14,SGD,min,0.7000000000000001,0.9625,0.8333333333333334,1.0,0.9090909090909091,0.8852698464000596
15,SGD,min,0.75,0.9552238805970149,0.8,1.0,0.8888888888888888,0.8852698464000596
16,SGD,min,0.8,0.9622641509433962,0.8181818181818182,1.0,0.9,0.8852698464000596
17,SGD,min,0.85,0.975,0.8333333333333334,1.0,0.9090909090909091,0.8852698464000596
18,SGD,min,0.9,0.9629629629629629,0.8,1.0,0.8888888888888888,0.8852698464000596
19,SGD,min,0.9500000000000001,0.9285714285714286,0.6666666666666666,1.0,0.8,0.8852698464000596
0,Logistic_Regression,min,0.0,0.8830188679245283,0.79,0.8876404494382022,0.8359788359788359,0.8901173465532838
1,Logistic_Regression,min,0.05,0.8968253968253969,0.8041237113402062,0.9176470588235294,0.8571428571428571,0.8901173465532838
2,Logistic_Regression,min,0.1,0.891213389121339,0.7956989247311828,0.9135802469135802,0.8505747126436781,0.8901173465532838
3,Logistic_Regression,min,0.15,0.8982300884955752,0.8068181818181818,0.922077922077922,0.8606060606060606,0.8901173465532838
4,Logistic_Regression,min,0.2,0.8962264150943396,0.7901234567901234,0.927536231884058,0.8533333333333334,0.8901173465532838
5,Logistic_Regression,min,0.25,0.9045226130653267,0.7866666666666666,0.9516129032258065,0.8613138686131386,0.8901173465532838
6,Logistic_Regression,min,0.3,0.9139784946236559,0.8088235294117647,0.9482758620689655,0.873015873015873,0.8901173465532838
7,Logistic_Regression,min,0.35000000000000003,0.9190751445086706,0.8064516129032258,0.9615384615384616,0.8771929824561403,0.8901173465532838
8,Logistic_Regression,min,0.4,0.9182389937106918,0.8035714285714286,0.9574468085106383,0.8737864077669902,0.8901173465532838
9,Logistic_Regression,min,0.45,0.9178082191780822,0.803921568627451,0.9534883720930233,0.8723404255319149,0.8901173465532838
10,Logistic_Regression,min,0.5,0.9172932330827067,0.8,0.9473684210526315,0.8674698795180723,0.8901173465532838
11,Logistic_Regression,min,0.55,0.9333333333333333,0.8055555555555556,0.9666666666666667,0.8787878787878788,0.8901173465532838
12,Logistic_Regression,min,0.6,0.9433962264150944,0.8333333333333334,0.9615384615384616,0.8928571428571429,0.8901173465532838
13,Logistic_Regression,min,0.65,0.956989247311828,0.875,0.9545454545454546,0.9130434782608695,0.8901173465532838
14,Logistic_Regression,min,0.7000000000000001,0.9875,0.9375,1.0,0.967741935483871,0.8901173465532838
15,Logistic_Regression,min,0.75,0.9850746268656716,0.9,1.0,0.9473684210526315,0.8901173465532838
16,Logistic_Regression,min,0.8,0.9811320754716981,0.75,1.0,0.8571428571428571,0.8901173465532838
17,Logistic_Regression,min,0.85,1.0,1.0,1.0,1.0,0.8901173465532838
