,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
16,SGD,min,0.8,0.8167888074616922,0.7013422818791947,0.8116504854368932,0.7524752475247525,0.732972748680263
17,SGD,min,0.85,0.8312611012433393,0.7277486910994765,0.7637362637362637,0.7453083109919572,0.732972748680263
18,SGD,min,0.9,0.8388814913448736,0.7035573122529645,0.7946428571428571,0.7463312368972747,0.732972748680263
19,SGD,min,0.9500000000000001,0.8430851063829787,0.7086092715231788,0.8770491803278688,0.7838827838827839,0.732972748680263
0,Logistic_Regression,min,0.0,0.6623116917744301,0.3572828216851731,0.6594333936106088,0.46346113111628895,0.7179656123391686
1,Logistic_Regression,min,0.05,0.6709233791748527,0.37100139082058414,0.6656269494697442,0.4764456351864255,0.7179656123391686
2,Logistic_Regression,min,0.1,0.6798992741816027,0.3869888475836431,0.6703155183515775,0.4906905491397596,0.7179656123391686
3,Logistic_Regression,min,0.15,0.689930991217064,0.4031224979983987,0.6744809109176155,0.5046354297168629,0.7179656123391686
4,Logistic_Regression,min,0.2,0.7020496583902683,0.4227430555555556,0.6801675977653632,0.5214132762312634,0.7179656123391686
5,Logistic_Regression,min,0.25,0.7138286526839673,0.4428706326723324,0.685672514619883,0.5381526104417671,0.7179656123391686
6,Logistic_Regression,min,0.3,0.725385640830318,0.46632124352331605,0.6859756097560976,0.5552128315854411,0.7179656123391686
7,Logistic_Regression,min,0.35000000000000003,0.735233798195242,0.48924122310305773,0.6895450917797287,0.5723749585955614,0.7179656123391686
8,Logistic_Regression,min,0.4,0.7504998889135748,0.5236294896030246,0.6936560934891486,0.5967684021543985,0.7179656123391686
9,Logistic_Regression,min,0.45,0.7632089190499273,0.5508058864751226,0.7005347593582888,0.6167124362495097,0.7179656123391686
10,Logistic_Regression,min,0.5,0.7747267395361237,0.5797665369649806,0.7095238095238096,0.6381156316916489,0.7179656123391686
11,Logistic_Regression,min,0.55,0.784952606635071,0.6056458511548332,0.7276464542651593,0.6610644257703081,0.7179656123391686
12,Logistic_Regression,min,0.6,0.7874041986004665,0.6225895316804407,0.7491712707182321,0.6800401203610833,0.7179656123391686
13,Logistic_Regression,min,0.65,0.7905559786747905,0.6365441906653426,0.776969696969697,0.6997816593886463,0.7179656123391686
14,Logistic_Regression,min,0.7000000000000001,0.7929808973789427,0.6503267973856209,0.8045822102425876,0.7192771084337349,0.7179656123391686
15,Logistic_Regression,min,0.75,0.7958422174840085,0.6619897959183674,0.814756671899529,0.7304714989444053,0.7179656123391686
16,Logistic_Regression,min,0.8,0.7968021319120586,0.6650485436893204,0.8074656188605108,0.7293700088731144,0.7179656123391686
17,Logistic_Regression,min,0.85,0.8241563055062167,0.7089201877934272,0.8031914893617021,0.7531172069825436,0.7179656123391686
18,Logistic_Regression,min,0.9,0.8308921438082557,0.7378640776699029,0.8321167883211679,0.7821612349914236,0.7179656123391686
19,Logistic_Regression,min,0.9500000000000001,0.8377659574468085,0.7012195121951219,0.905511811023622,0.7903780068728522,0.7179656123391686
0,KNN,min,0.0,0.7287028396213838,0.41833188531711557,0.5804701627486437,0.48624084827063874,0.7575312935740022
1,KNN,min,0.05,0.7394049957900646,0.4347006129184347,0.5835443037974684,0.4982437179140773,0.7575312935740022
2,KNN,min,0.1,0.7511479780773219,0.45622119815668205,0.5904572564612326,0.5147313691507799,0.7575312935740022
3,KNN,min,0.15,0.7600376411543287,0.4726670347874103,0.5981830887491265,0.528069093152375,0.7575312935740022
4,KNN,min,0.2,0.7668721879686718,0.4919499105545617,0.6013119533527697,0.5411610364053788,0.7575312935740022
5,KNN,min,0.25,0.7760398151439744,0.5106382978723404,0.6125290023201856,0.5569620253164557,0.7575312935740022
6,KNN,min,0.3,0.7813749761950105,0.5235783633841886,0.6208881578947368,0.5680963130173062,0.7575312935740022
7,KNN,min,0.35000000000000003,0.7895816242821985,0.5446494464944649,0.6434176111595467,0.5899280575539568,0.7575312935740022
8,KNN,min,0.4,0.7929349033548101,0.5515873015873016,0.6544256120527306,0.5986218776916451,0.7575312935740022
9,KNN,min,0.45,0.7971400872515754,0.5663265306122449,0.6706948640483383,0.6141078838174274,0.7575312935740022
10,KNN,min,0.5,0.8032524660090643,0.5794306703397613,0.6926454445664105,0.631,0.7575312935740022
