,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,Decision_Tree,min,0.0,0.9741609132544945,0.974190156918377,0.9741616507922792,0.9741481595465097,0.9344218618272941
1,Decision_Tree,min,0.05,0.9842423370269103,0.9840904265325626,0.9840263327510257,0.9840233099338309,0.9344218618272941
2,Decision_Tree,min,0.1,0.9842788790157211,0.9841379761932562,0.9840614564131286,0.9840643677782759,0.9344218618272941
3,Decision_Tree,min,0.15,0.9843184559710495,0.9841399367675066,0.9840956808981602,0.984080393767636,0.9344218618272941
4,Decision_Tree,min,0.2,0.984876965140123,0.9846933793051242,0.9846618695407442,0.9846500789866434,0.9344218618272941
5,Decision_Tree,min,0.25,0.9845060153117026,0.9842732312109983,0.9842894409834207,0.9842431696864733,0.9344218618272941
6,Decision_Tree,min,0.3,0.9839859388731569,0.9837268371235051,0.9838170850085909,0.9837284717810758,0.9344218618272941
7,Decision_Tree,min,0.35000000000000003,0.9834893259017773,0.9831976991425424,0.9833076493487567,0.9832097321966317,0.9344218618272941
8,Decision_Tree,min,0.4,0.983481430849852,0.9832152364202673,0.9833265992607646,0.9832238327849822,0.9344218618272941
9,Decision_Tree,min,0.45,0.9840914740243599,0.9837445466404513,0.9838642409432705,0.9837645092195092,0.9344218618272941
10,Decision_Tree,min,0.5,0.9841421736158579,0.983766606569715,0.983928082046678,0.9838100606449186,0.9344218618272941
11,Decision_Tree,min,0.55,0.9832928311057109,0.982891593382109,0.9829964523749225,0.9828994857053353,0.9344218618272941
12,Decision_Tree,min,0.6,0.9834244702665755,0.9829728478943377,0.9831522424439185,0.983006356920076,0.9344218618272941
13,Decision_Tree,min,0.65,0.9839875024409295,0.983551318297259,0.9836601220740309,0.9835754467194849,0.9344218618272941
14,Decision_Tree,min,0.7000000000000001,0.9845067213488267,0.9841678913950364,0.9842319266128418,0.9841751769172487,0.9344218618272941
15,Decision_Tree,min,0.75,0.9844177145981411,0.9840877159568009,0.9841206947695582,0.9840793064719784,0.9344218618272941
16,Decision_Tree,min,0.8,0.9835953520164047,0.9833225872291539,0.9833229902304969,0.9832870042120146,0.9344218618272941
17,Decision_Tree,min,0.85,0.9840546697038725,0.9836107406431744,0.9835007909533608,0.9835315339976887,0.9344218618272941
18,Decision_Tree,min,0.9,0.9808612440191388,0.9799825728016099,0.9798131842093928,0.9798567050838431,0.9344218618272941
19,Decision_Tree,min,0.9500000000000001,0.9836065573770492,0.9830533122735968,0.98267798056695,0.982820716844731,0.9344218618272941
0,SGD,min,0.0,0.731150454576526,0.7285226987563054,0.7311314403389967,0.7269570259020232,0.8030538617649544
1,SGD,min,0.05,0.7520506547704706,0.7461188062117752,0.7471814202297218,0.7436222226341788,0.8030538617649544
2,SGD,min,0.1,0.769879243563454,0.7601939569085213,0.7601604428188896,0.7569312460095627,0.8030538617649544
3,SGD,min,0.15,0.7860072376357057,0.7730241734556013,0.7724907086185165,0.7693582795515272,0.8030538617649544
4,SGD,min,0.2,0.8001537935748462,0.7841347915913935,0.783200244021922,0.7803596692059389,0.8030538617649544
5,SGD,min,0.25,0.8127962085308057,0.7946847280337135,0.792857495931964,0.7903810687690392,0.8030538617649544
6,SGD,min,0.3,0.8246265013182307,0.8030549005140609,0.8008597932321698,0.798630140714739,0.8030538617649544
7,SGD,min,0.35000000000000003,0.8364707119570933,0.812964550149255,0.8105310482296033,0.8082499789540016,0.8030538617649544
8,SGD,min,0.4,0.8449532923217133,0.8185546280987244,0.8167823781944314,0.8145282468253466,0.8030538617649544
9,SGD,min,0.45,0.8544618443947303,0.8256528059564366,0.8240786274057638,0.821783305947569,0.8030538617649544
10,SGD,min,0.5,0.8620642515379358,0.8326534971176659,0.8301749454752811,0.8284304405123184,0.8030538617649544
11,SGD,min,0.55,0.8663426488456865,0.8370158448839219,0.8319951666850754,0.8310751324810912,0.8030538617649544
12,SGD,min,0.6,0.8750854408749146,0.8451045553371805,0.8388683226913357,0.8388557672951553,0.8030538617649544
13,SGD,min,0.65,0.8824448349931654,0.8495846767944677,0.8406421677820464,0.8425719417712433,0.8030538617649544
14,SGD,min,0.7000000000000001,0.8890407837776259,0.8549050780267833,0.8367199910479693,0.8431946038109829,0.8030538617649544
15,SGD,min,0.75,0.8925642427556042,0.8515186746047244,0.8279200675398012,0.8370352039782833,0.8030538617649544
16,SGD,min,0.8,0.8978127136021873,0.8559134413747759,0.8174882885977027,0.8316830441657707,0.8030538617649544
17,SGD,min,0.85,0.9025056947608201,0.8491641377612257,0.8027494260780408,0.8180740066488784,0.8030538617649544
18,SGD,min,0.9,0.8981544771018455,0.8310391132051589,0.7842977321708553,0.793164381747182,0.8030538617649544
19,SGD,min,0.9500000000000001,0.8961748633879781,0.7346642029245717,0.7519867717115424,0.7337148006124614,0.8030538617649544
0,Logistic_Regression,min,0.0,0.9192015858910384,0.9190502662257635,0.9192045885285758,0.9190946336975827,0.9325161429471172
1,Logistic_Regression,min,0.05,0.9391279320765578,0.9376778266719673,0.9375725868678746,0.9375550386675865,0.9325161429471172
2,Logistic_Regression,min,0.1,0.9529125844915318,0.9505748999283103,0.9502088754090735,0.9503329536544661,0.9325161429471172
3,Logistic_Regression,min,0.15,0.9629272215520708,0.959878305187113,0.9594628598090238,0.9596396213594466,0.9325161429471172
4,Logistic_Regression,min,0.2,0.9714627477785373,0.9684032805033255,0.9674534792572252,0.9678812483479355,0.9325161429471172
5,Logistic_Regression,min,0.25,0.9765767407947503,0.9733312290232015,0.9715446235835498,0.9723857073733889,0.9325161429471172
