,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
71,median,0.7000000000000001,0.75,0.9875,0.9285714285714286,1.0,0.9629629629629629,0.8452935953205796
72,median,0.8,0.0,1.0,1.0,1.0,1.0,0.8452935953205796
73,median,0.8,0.25,1.0,1.0,1.0,1.0,0.8452935953205796
74,median,0.8,0.5,1.0,1.0,1.0,1.0,0.8452935953205796
75,median,0.8,0.75,1.0,1.0,1.0,1.0,0.8452935953205796
76,median,0.9,0.0,1.0,0.0,0.0,0.0,0.8452935953205796
77,median,0.9,0.25,1.0,0.0,0.0,0.0,0.8452935953205796
78,median,0.9,0.5,1.0,0.0,0.0,0.0,0.8452935953205796
79,median,0.9,0.75,1.0,0.0,0.0,0.0,0.8452935953205796
80,min,0.0,0.0,0.8301886792452831,0.7156862745098039,0.8202247191011236,0.7643979057591623,0.7931042450877495
81,min,0.0,0.25,0.8641509433962264,0.7623762376237624,0.8651685393258427,0.8105263157894737,0.7931042450877495
82,min,0.0,0.5,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.7931042450877495
83,min,0.0,0.75,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.7931042450877495
84,min,0.1,0.0,0.8242677824267782,0.717391304347826,0.8048780487804879,0.7586206896551724,0.7931042450877495
85,min,0.1,0.25,0.8619246861924686,0.7634408602150538,0.8658536585365854,0.8114285714285714,0.7931042450877495
86,min,0.1,0.5,0.8702928870292888,0.7741935483870968,0.8780487804878049,0.8228571428571428,0.7931042450877495
87,min,0.1,0.75,0.8702928870292888,0.7741935483870968,0.8780487804878049,0.8228571428571428,0.7931042450877495
88,min,0.2,0.0,0.8254716981132075,0.7037037037037037,0.8142857142857143,0.7549668874172185,0.7931042450877495
89,min,0.2,0.25,0.8632075471698113,0.7469879518072289,0.8857142857142857,0.8104575163398693,0.7931042450877495
90,min,0.2,0.5,0.8726415094339622,0.7590361445783133,0.9,0.8235294117647058,0.7931042450877495
91,min,0.2,0.75,0.8726415094339622,0.7590361445783133,0.9,0.8235294117647058,0.7931042450877495
92,min,0.3,0.0,0.8279569892473119,0.6956521739130435,0.8135593220338984,0.75,0.7931042450877495
93,min,0.3,0.25,0.8548387096774194,0.7222222222222222,0.8813559322033898,0.7938931297709924,0.7931042450877495
