,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
26,avg,0.6,0.5,0.8883705431522826,0.7174887892376681,0.6049149338374291,0.6564102564102564,0.7780714522177445
27,avg,0.6,0.75,0.8883705431522826,0.7174887892376681,0.6049149338374291,0.6564102564102564,0.7780714522177445
28,avg,0.7000000000000001,0.0,0.8938249666814749,0.7230320699708455,0.6326530612244898,0.6748299319727891,0.7780714522177445
29,avg,0.7000000000000001,0.25,0.8938249666814749,0.7230320699708455,0.6326530612244898,0.6748299319727891,0.7780714522177445
30,avg,0.7000000000000001,0.5,0.8938249666814749,0.7230320699708455,0.6326530612244898,0.6748299319727891,0.7780714522177445
31,avg,0.7000000000000001,0.75,0.8938249666814749,0.7230320699708455,0.6326530612244898,0.6748299319727891,0.7780714522177445
32,avg,0.8,0.0,0.8980679546968687,0.7297297297297297,0.6948529411764706,0.711864406779661,0.7780714522177445
33,avg,0.8,0.25,0.8980679546968687,0.7297297297297297,0.6948529411764706,0.711864406779661,0.7780714522177445
34,avg,0.8,0.5,0.8980679546968687,0.7297297297297297,0.6948529411764706,0.711864406779661,0.7780714522177445
35,avg,0.8,0.75,0.8980679546968687,0.7297297297297297,0.6948529411764706,0.711864406779661,0.7780714522177445
36,avg,0.9,0.0,0.9001331557922769,0.7232704402515723,0.7876712328767124,0.7540983606557377,0.7780714522177445
37,avg,0.9,0.25,0.9001331557922769,0.7232704402515723,0.7876712328767124,0.7540983606557377,0.7780714522177445
38,avg,0.9,0.5,0.9001331557922769,0.7232704402515723,0.7876712328767124,0.7540983606557377,0.7780714522177445
39,avg,0.9,0.75,0.9001331557922769,0.7232704402515723,0.7876712328767124,0.7540983606557377,0.7780714522177445
40,median,0.0,0.0,0.7836288494867351,0.5107913669064749,0.5135623869801085,0.5121731289449954,0.7908048038093249
41,median,0.0,0.25,0.7940274630049327,0.537598944591029,0.4912597950572634,0.5133858267716536,0.7908048038093249
42,median,0.0,0.5,0.8141581122516998,0.615923009623797,0.4243520192887282,0.502498215560314,0.7908048038093249
43,median,0.0,0.75,0.8068257565657913,0.5844051446945338,0.4382157926461724,0.5008611780916293,0.7908048038093249
44,median,0.1,0.0,0.8151384980002963,0.5678180286436394,0.47835344215755854,0.5192604006163328,0.7908048038093249
45,median,0.1,0.25,0.821656050955414,0.5920934411500449,0.46770759403832507,0.5226011102299762,0.7908048038093249
46,median,0.1,0.5,0.8318767589986669,0.638663967611336,0.4478353442157559,0.5264914476428869,0.7908048038093249
47,median,0.1,0.75,0.8253592060435491,0.6145418326693227,0.43789921930447123,0.5113966017405719,0.7908048038093249
48,median,0.2,0.0,0.8398600233294451,0.6233766233766234,0.4512820512820513,0.5235498264749628,0.7908048038093249
49,median,0.2,0.25,0.8433594400933178,0.6423267326732673,0.44358974358974357,0.5247724974721941,0.7908048038093249
50,median,0.2,0.5,0.848525245792368,0.671484888304862,0.43675213675213675,0.5292594510616261,0.7908048038093249
51,median,0.2,0.75,0.8443592734544243,0.6528497409326425,0.4307692307692308,0.5190525231719877,0.7908048038093249
52,median,0.3,0.0,0.8611693010855075,0.678082191780822,0.4226254002134472,0.5207100591715976,0.7908048038093249
53,median,0.3,0.25,0.8628832603313654,0.6906854130052724,0.4194236926360726,0.5219123505976095,0.7908048038093249
54,median,0.3,0.5,0.8651685393258427,0.7048300536672629,0.4204909284951974,0.5267379679144385,0.7908048038093249
55,median,0.3,0.75,0.8636450199961913,0.6983842010771992,0.4151547491995731,0.5207496653279786,0.7908048038093249
56,median,0.4,0.0,0.8746945123305933,0.7051597051597052,0.39261285909712723,0.5043936731107206,0.7908048038093249
57,median,0.4,0.25,0.8760275494334593,0.71571072319202,0.39261285909712723,0.5070671378091873,0.7908048038093249
58,median,0.4,0.5,0.8769162408353699,0.7229219143576826,0.39261285909712723,0.5088652482269503,0.7908048038093249
59,median,0.4,0.75,0.8764718951344146,0.7204030226700252,0.3912448700410397,0.5070921985815603,0.7908048038093249
60,median,0.5,0.0,0.887763263129832,0.7137681159420289,0.3654916512059369,0.4834355828220859,0.7908048038093249
61,median,0.5,0.25,0.8885630498533724,0.7216117216117216,0.3654916512059369,0.4852216748768473,0.7908048038093249
62,median,0.5,0.5,0.8885630498533724,0.7216117216117216,0.3654916512059369,0.4852216748768473,0.7908048038093249
63,median,0.5,0.75,0.8885630498533724,0.7216117216117216,0.3654916512059369,0.4852216748768473,0.7908048038093249
64,median,0.6,0.0,0.9000333222259247,0.7514450867052023,0.3359173126614987,0.4642857142857143,0.7908048038093249
65,median,0.6,0.25,0.9003665444851716,0.7558139534883721,0.3359173126614987,0.46511627906976744,0.7908048038093249
66,median,0.6,0.5,0.9003665444851716,0.7558139534883721,0.3359173126614987,0.46511627906976744,0.7908048038093249
67,median,0.6,0.75,0.9003665444851716,0.7558139534883721,0.3359173126614987,0.46511627906976744,0.7908048038093249
68,median,0.7000000000000001,0.0,0.9173700577521102,0.7391304347826086,0.2956521739130435,0.422360248447205,0.7908048038093249
69,median,0.7000000000000001,0.25,0.9173700577521102,0.7391304347826086,0.2956521739130435,0.422360248447205,0.7908048038093249
