,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
148,max,0.7000000000000001,0.0,0.9957928802588997,0.875,0.56,0.6829268292682927,0.8833185417281352
149,max,0.7000000000000001,0.25,0.996116504854369,0.9333333333333333,0.56,0.7,0.8833185417281352
150,max,0.7000000000000001,0.5,0.996116504854369,0.9333333333333333,0.56,0.7,0.8833185417281352
151,max,0.7000000000000001,0.75,0.996116504854369,0.9333333333333333,0.56,0.7,0.8833185417281352
152,max,0.8,0.0,0.9966019417475728,0.8666666666666667,0.7222222222222222,0.7878787878787878,0.8833185417281352
153,max,0.8,0.25,0.9970873786407767,0.9285714285714286,0.7222222222222222,0.8125,0.8833185417281352
154,max,0.8,0.5,0.9970873786407767,0.9285714285714286,0.7222222222222222,0.8125,0.8833185417281352
155,max,0.8,0.75,0.9970873786407767,0.9285714285714286,0.7222222222222222,0.8125,0.8833185417281352
156,max,0.9,0.0,0.9970873786407767,0.9,0.8181818181818182,0.8571428571428571,0.8833185417281352
157,max,0.9,0.25,0.9980582524271845,1.0,0.8181818181818182,0.9,0.8833185417281352
158,max,0.9,0.5,0.9980582524271845,1.0,0.8181818181818182,0.9,0.8833185417281352
159,max,0.9,0.75,0.9980582524271845,1.0,0.8181818181818182,0.9,0.8833185417281352
