,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
19,Decision_Tree,min,0.9500000000000001,0.9523809523809523,0.8928571428571429,0.8064516129032258,0.847457627118644,0.8761158861082189
0,SGD,min,0.0,0.8015115354017502,0.5858175248419151,0.6909962706446457,0.6340747983378147,0.8637003191005048
1,SGD,min,0.05,0.8164689462665736,0.6061946902654868,0.7057813394390383,0.6522084104734197,0.8637003191005048
2,SGD,min,0.1,0.8299941072480849,0.6311827956989248,0.7149817295980512,0.6704740148486579,0.8637003191005048
3,SGD,min,0.15,0.8426142567462175,0.654320987654321,0.7255541069100391,0.6880989180834621,0.8637003191005048
4,SGD,min,0.2,0.8543254888962546,0.6700507614213198,0.7462897526501767,0.7061183550651956,0.8637003191005048
5,SGD,min,0.25,0.8656531730599257,0.68707015130674,0.7661042944785276,0.7244379985496737,0.8637003191005048
6,SGD,min,0.3,0.8744318181818181,0.7043740573152338,0.775103734439834,0.7380482022915843,0.8637003191005048
7,SGD,min,0.35000000000000003,0.8851723434631859,0.7259816207184628,0.7871376811594203,0.7553237722729248,0.8637003191005048
8,SGD,min,0.4,0.8999116217410517,0.76,0.8073122529644269,0.7829420220412074,0.8637003191005048
9,SGD,min,0.45,0.9098577970595324,0.7815126050420168,0.8175824175824176,0.799140708915145,0.8637003191005048
10,SGD,min,0.5,0.9212410501193318,0.8049382716049382,0.8242730720606827,0.8144909431605247,0.8637003191005048
11,SGD,min,0.55,0.9328226281673542,0.8355359765051396,0.8306569343065694,0.8330893118594437,0.8637003191005048
12,SGD,min,0.6,0.9472986410341399,0.8723021582733813,0.8464223385689355,0.8591674047829938,0.8637003191005048
13,SGD,min,0.65,0.9526515151515151,0.8891213389121339,0.8551307847082495,0.8717948717948718,0.8637003191005048
14,SGD,min,0.7000000000000001,0.9606716747680071,0.91,0.8729016786570744,0.8910648714810282,0.8637003191005048
15,SGD,min,0.75,0.9724284199363733,0.9337349397590361,0.9117647058823529,0.9226190476190477,0.8637003191005048
16,SGD,min,0.8,0.9708416169648774,0.927007299270073,0.9136690647482014,0.9202898550724637,0.8637003191005048
17,SGD,min,0.85,0.9726148409893993,0.9241706161137441,0.9285714285714286,0.9263657957244655,0.8637003191005048
18,SGD,min,0.9,0.9735099337748344,0.920863309352518,0.9343065693430657,0.927536231884058,0.8637003191005048
