,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
2,KNN,min,0.1,0.8790592296903658,0.45464982778415614,0.3800383877159309,0.41400940930475694,0.8325953331530038
3,KNN,min,0.15,0.8786840301576422,0.46219512195121953,0.379,0.4164835164835165,0.8325953331530038
4,KNN,min,0.2,0.8776550552251486,0.4661558109833972,0.38219895287958117,0.42002301495972383,0.8325953331530038
5,KNN,min,0.25,0.8776540652511652,0.46414073071718537,0.3845291479820628,0.4206008583690987,0.8325953331530038
6,KNN,min,0.3,0.8786239422943543,0.46320346320346323,0.3895631067961165,0.42320369149637443,0.8325953331530038
7,KNN,min,0.35000000000000003,0.8792948909471168,0.4673913043478261,0.39295039164490864,0.4269503546099291,0.8325953331530038
8,KNN,min,0.4,0.8789448130765496,0.4639865996649916,0.39290780141843973,0.4254992319508449,0.8325953331530038
9,KNN,min,0.45,0.8769420903954802,0.466786355475763,0.3939393939393939,0.4272801972062449,0.8325953331530038
10,KNN,min,0.5,0.8755098077296563,0.4624505928853755,0.3880597014925373,0.4220018034265104,0.8325953331530038
11,KNN,min,0.55,0.87680690399137,0.4610244988864143,0.38619402985074625,0.4203045685279188,0.8325953331530038
12,KNN,min,0.6,0.8798543689320388,0.46649484536082475,0.3859275053304904,0.4224037339556593,0.8325953331530038
13,KNN,min,0.65,0.8804438280166436,0.46407185628742514,0.3808353808353808,0.4183535762483131,0.8325953331530038
14,KNN,min,0.7000000000000001,0.8766990291262136,0.4452054794520548,0.37249283667621774,0.40561622464898595,0.8325953331530038
15,KNN,min,0.75,0.8733980582524272,0.45098039215686275,0.38205980066445183,0.4136690647482014,0.8325953331530038
16,KNN,min,0.8,0.870873786407767,0.45539906103286387,0.39271255060728744,0.4217391304347826,0.8325953331530038
17,KNN,min,0.85,0.8640776699029126,0.4551282051282051,0.3622448979591837,0.4034090909090909,0.8325953331530038
18,KNN,min,0.9,0.870873786407767,0.48,0.37209302325581395,0.4192139737991266,0.8325953331530038
19,KNN,min,0.9500000000000001,0.8776699029126214,0.5454545454545454,0.3582089552238806,0.43243243243243246,0.8325953331530038
0,SVM_Linear,min,0.0,0.7772382986987765,0.32993401319736054,0.9482758620689655,0.48954161103693816,0.7883665925266775
